vus,tps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,cpu_util_pct,disk_util_pct
1,43.34050229172596,22.714206754608316,null,44.2946675,45.3283785,null,10.58,0.03
10,434.738123276517,22.655725139377303,null,44.606759999999994,47.314774,null,11.58,0.03
50,2082.366116762442,22.76232435917388,null,44.0358526,44.172381200000004,null,12.89,0.02
100,3709.5019835248436,22.639678544770295,null,44.0572891,44.2043385,null,14.88,0.04
200,4929.521479004224,23.06525671134851,null,44.164891,44.4560265,null,17.88,0.04
400,4809.385363729041,32.132530853921565,null,44.6294655,47.094596249999995,null,20.72,0.03
500,5595.249411049801,28.38945786282962,null,44.5320352,45.807714399999995,null,21.86,0.02
600,4440.648517730143,29.688626898092224,null,48.0752596,48.7232544,null,18.21,0.02
1000,4208.8139309816515,70.20342140012116,null,45.027708800000006,47.49493644999999,null,19.00,0.03
