vus,tps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,cpu_util_pct,disk_util_pct
1,23.04053420261227,43.13258972017355,null,44.4475808,46.2732402,null,10.49,0.03
10,230.47022370661412,43.20108376411328,null,44.5067464,46.72284860000001,null,10.61,0.03
50,1146.7960190289302,43.50892558343333,null,47.155997,47.966582,null,10.81,0.05
100,2243.7139453034283,44.00647347331014,null,48.004494,48.29231425,null,11.78,0.03
200,4417.599590114644,44.636802208642514,null,48.290386,49.1315795,null,13.59,0.04
400,8484.49285238454,46.318104159667435,null,50.851288,54.17553975,null,19.01,0.06
500,6687.6029311396205,49.11288058377576,null,55.929377900000006,62.45640685,null,19.19,0.03
600,6877.216891915149,58.94758304396905,null,59.2425572,67.2435726,null,20.59,0.03
1000,6888.915581680875,100.96724003733942,null,60.546328599999995,71.9789484,null,20.16,0.04
