vus,tps,avg_ms,p50_ms,p90_ms,p95_ms,p99_ms,cpu_util_pct,disk_util_pct
1,22.471242352112508,44.23594246941039,null,47.959964,48.7559627,null,10.55,0.45
10,228.50543248324405,43.561283262651685,null,47.5515318,47.9423544,null,11.02,0.89
50,1131.6548065429556,44.07310298236981,null,48.0263726,48.268693,null,12.63,1.54
100,2232.010287450266,44.65398285276956,null,48.2309732,49.71608979999999,null,14.36,3.32
200,4343.294260540921,45.458877806962356,null,50.38086520000001,52.1454418,null,19.35,5.89
400,7024.182813384822,55.68013383399097,null,75.326502,88.050719,null,32.66,6.52
500,7651.9195123544405,64.08879960373665,null,86.111344,103.357997,null,32.48,4.99
600,7153.625730462956,74.42233717711026,null,90.37139400000001,109.20248799999996,null,30.68,4.67
1000,5150.981720479938,136.39578673890554,null,95.02661590000001,117.93186855000002,null,25.44,3.58
